Poster_Link,Series_Title,Genre,Director,text-prep-stem
"https://m.media-amazon.com/images/M/MV5BNjcyYjg0M2ItMzMyZS00NmM1LTlhZDMtN2MxN2RhNWY4YTkwXkEyXkFqcGdeQXVyNjY1MTg4Mzc@._V1_UX67_CR0,0,67,98_AL_.jpg",Sound of Metal,"Drama, Music",Darius Marder,drama music heavymet drummer life thrown freefal begin lose hear darius marder riz ahm olivia cook paul raci lauren ridloff
"https://m.media-amazon.com/images/M/MV5BMTBkMjMyN2UtNzVjNi00Y2ZiLTk2MDYtN2Y0MjgzYjAxNzE4XkEyXkFqcGdeQXVyNjkxOTM4ODY@._V1_UY98_CR1,0,67,98_AL_.jpg",Forushande,Drama,Asghar Farhadi,drama particip product death salesman teacher wife assault new home leav determin find perpetr wife traumat object asghar farhadi shahab hosseini taraneh alidoosti babak karimi mina sadati
"https://m.media-amazon.com/images/M/MV5BN2YyZjQ0NTEtNzU5MS00NGZkLTg0MTEtYzJmMWY3MWRhZjM2XkEyXkFqcGdeQXVyMDA4NzMyOA@@._V1_UX67_CR0,0,67,98_AL_.jpg",Dunkirk,"Action, Drama, History",Christopher Nolan,action drama histori alli soldier belgium british empir franc surround german armi evacu fierc battl world war ii christoph nolan fionn whitehead barri keoghan mark rylanc tom hardi
"https://m.media-amazon.com/images/M/MV5BNDQzZmQ5MjItYmJlNy00MGI2LWExMDQtMjBiNjNmMzc5NTk1XkEyXkFqcGdeQXVyNjY1OTY4MTk@._V1_UY98_CR1,0,67,98_AL_.jpg",Perfetti sconosciuti,"Comedy, Drama",Paolo Genovese,comedi drama seven longtim friend get togeth dinner decid share content everi text messag email phone call receiv mani secret start unveil equilibrium trembl paolo genoves giusepp battiston anna foglietta marco giallini edoardo leo
"https://m.media-amazon.com/images/M/MV5BMzg2Mzg4YmUtNDdkNy00NWY1LWE3NmEtZWMwNGNlMzE5YzU3XkEyXkFqcGdeQXVyMjA5MTIzMjQ@._V1_UX67_CR0,0,67,98_AL_.jpg",Hidden Figures,"Biography, Drama, History",Theodore Melfi,biographi drama histori stori team femal africanamerican mathematician serv vital role nasa earli year us space program theodor melfi taraji p henson octavia spencer janell moná kevin costner
"https://m.media-amazon.com/images/M/MV5BMmYwNWZlNzEtNjE4Zi00NzQ4LWI2YmUtOWZhNzZhZDYyNmVmXkEyXkFqcGdeQXVyNzYzODM3Mzg@._V1_UX67_CR0,0,67,98_AL_.jpg",Paddington 2,"Adventure, Comedy, Family",Paul King,adventur comedi famili paddington ben whishaw happili settl brown famili popular member local communiti pick seri odd job buy perfect present aunt luci imelda staunton th birthday gift stolen paul king ben whishaw hugh grant hugh bonnevill salli hawkin
"https://m.media-amazon.com/images/M/MV5BY2YxNjQxYWYtYzNkMi00YTgyLWIwZTMtYzgyYjZlZmYzZTA0XkEyXkFqcGdeQXVyMTA4NjE0NjEy._V1_UX67_CR0,0,67,98_AL_.jpg",Udta Punjab,"Action, Crime, Drama",Abhishek Chaubey,action crime drama stori revolv around drug abus affluent north indian state punjab youth succumb enmass result socioeconom declin abhishek chaubey shahid kapoor alia bhatt kareena kapoor diljit dosanjh
"https://m.media-amazon.com/images/M/MV5BMjA2Mzg2NDMzNl5BMl5BanBnXkFtZTgwMjcwODUzOTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Kubo and the Two Strings,"Animation, Action, Adventure",Travis Knight,anim action adventur young boy name kubo must locat magic suit armour worn late father order defeat veng spirit past travi knight charliz theron art parkinson matthew mcconaughey ralph fienn
"https://m.media-amazon.com/images/M/MV5BZjAzZjZiMmQtMDZmOC00NjVmLTkyNTItOGI2Mzg4NTBhZTA1XkEyXkFqcGdeQXVyODE5NzE3OTE@._V1_UY98_CR0,0,67,98_AL_.jpg",M.S. Dhoni: The Untold Story,"Biography, Drama, Sport",Neeraj Pandey,biographi drama sport untold stori mahendra singh dhoni journey ticket collector trophi collector worldcupwin captain indian cricket team neeraj pandey sushant singh rajput kiara advani anupam kher disha patani
"https://m.media-amazon.com/images/M/MV5BMTYxMjk0NDg4Ml5BMl5BanBnXkFtZTgwODcyNjA5OTE@._V1_UX67_CR0,0,67,98_AL_.jpg",Manchester by the Sea,Drama,Kenneth Lonergan,drama depress uncl ask take care teenag nephew boy father die kenneth lonergan casey affleck michell william kyle chandler luca hedg
"https://m.media-amazon.com/images/M/MV5BMjA0MzQzNjM1Ml5BMl5BanBnXkFtZTgwNjM5MjU5NjE@._V1_UX67_CR0,0,67,98_AL_.jpg",Under sandet,"Drama, History, War",Martin Zandvliet,drama histori war postworld war ii denmark group young german pow forc clear beach thousand land mine watch danish sergeant slowli learn appreci plight martin zandvliet roland møller loui hofmann joel basman mikkel boe følsgaard
"https://m.media-amazon.com/images/M/MV5BMjEwMzMxODIzOV5BMl5BanBnXkFtZTgwNzg3OTAzMDI@._V1_UX67_CR0,0,67,98_AL_.jpg",Rogue One,"Action, Adventure, Sci-Fi",Gareth Edwards,action adventur scifi daughter imperi scientist join rebel allianc riski move steal plan death star gareth edward felic jone diego luna alan tudyk donni yen
"https://m.media-amazon.com/images/M/MV5BMjQ0MTgyNjAxMV5BMl5BanBnXkFtZTgwNjUzMDkyODE@._V1_UX67_CR0,0,67,98_AL_.jpg",Captain America: Civil War,"Action, Adventure, Sci-Fi",Anthony Russo,action adventur scifi polit involv aveng affair caus rift captain america iron man anthoni russo joe russo chris evan robert downey jr scarlett johansson
"https://m.media-amazon.com/images/M/MV5BMjA1MTc1NTg5NV5BMl5BanBnXkFtZTgwOTM2MDEzNzE@._V1_UX67_CR0,0,67,98_AL_.jpg",The Hateful Eight,"Crime, Drama, Mystery",Quentin Tarantino,crime drama mysteri dead wyom winter bounti hunter prison find shelter cabin current inhabit collect nefari charact quentin tarantino samuel l jackson kurt russel jennif jason leigh walton goggin
"https://m.media-amazon.com/images/M/MV5BY2QzYTQyYzItMzAwYi00YjZlLThjNTUtNzMyMDdkYzJiNWM4XkEyXkFqcGdeQXVyMTkxNjUyNQ@@._V1_UX67_CR0,0,67,98_AL_.jpg",Little Women,"Drama, Romance",Greta Gerwig,drama romanc jo march reflect back forth life tell belov stori march sister four young women determin live life term greta gerwig saoirs ronan emma watson florenc pugh eliza scanlen
